service_id,date,exception_type
11022901791,20251231,1
39902609471,20250917,1
39902609471,20250918,1
39902609471,20250919,1
39902609471,20250923,1
39902609471,20250924,1
39902609471,20250925,1
39902609471,20250926,1
39902609471,20250929,1
39902609471,20250930,1
39902609471,20251001,1
39902609471,20251002,1
39902609471,20251003,1
39902609471,20251006,1
39902609471,20251007,1
39902609471,20251008,1
39902609471,20251009,1
39902609471,20251010,1
39902609471,20251013,1
39902609471,20251014,1
39902609471,20251015,1
39902609471,20251016,1
39902609471,20251017,1
39902609471,20251020,1
39902609471,20251021,1
39902609471,20251022,1
39902609471,20251023,1
39902609471,20251024,1
39902609471,20251027,1
39902609471,20251028,1
39902609471,20251029,1
39902609471,20251030,1
39902609471,20251031,1
39902609471,20251103,1
39902609471,20251104,1
39902609471,20251105,1
39902609471,20251106,1
39902609471,20251107,1
39902609471,20251110,1
39902609471,20251111,1
39902609471,20251112,1
39902609471,20251113,1
39902609471,20251114,1
39902609471,20251117,1
39902609471,20251118,1
39902609471,20251119,1
39902609471,20251120,1
39902609471,20251121,1
39902609471,20251124,1
39902609471,20251125,1
39902609471,20251126,1
39902609471,20251127,1
39902609471,20251128,1
39902609471,20251201,1
39902609471,20251202,1
39902609471,20251203,1
39902609471,20251204,1
39902609471,20251205,1
39902609471,20251208,1
39902609471,20251209,1
39902609471,20251210,1
39902609471,20251211,1
39902609471,20251212,1
39902609471,20251215,1
39902609471,20251216,1
39902609471,20251217,1
39902609471,20251218,1
39902609471,20251219,1
39902609471,20251222,1
39902609471,20251223,1
39902609471,20251229,1
39902609471,20251230,1
39902609471,20251231,1
19407984140,20250920,1
19407984140,20250921,1
19407984140,20250922,1
19407984140,20250927,1
19407984140,20250928,1
19407984140,20251004,1
19407984140,20251005,1
19407984140,20251011,1
19407984140,20251012,1
19407984140,20251018,1
19407984140,20251019,1
19407984140,20251025,1
19407984140,20251026,1
19407984140,20251101,1
19407984140,20251102,1
19407984140,20251108,1
19407984140,20251109,1
19407984140,20251115,1
19407984140,20251116,1
19407984140,20251122,1
19407984140,20251123,1
19407984140,20251129,1
19407984140,20251130,1
19407984140,20251206,1
19407984140,20251207,1
19407984140,20251213,1
19407984140,20251214,1
19407984140,20251220,1
19407984140,20251221,1
19407984140,20251224,1
19407984140,20251225,1
19407984140,20251226,1
19407984140,20251227,1
19407984140,20251228,1
36566148661,20250917,1
36566148661,20250918,1
36566148661,20250919,1
36566148661,20250923,1
36566148661,20250924,1
36566148661,20250925,1
36566148661,20250926,1
36566148661,20250929,1
36566148661,20250930,1
36566148661,20251001,1
36566148661,20251002,1
36566148661,20251003,1
36566148661,20251006,1
36566148661,20251007,1
36566148661,20251008,1
36566148661,20251009,1
36566148661,20251010,1
36566148661,20251013,1
36566148661,20251014,1
36566148661,20251015,1
36566148661,20251016,1
36566148661,20251017,1
36566148661,20251020,1
36566148661,20251021,1
36566148661,20251022,1
36566148661,20251023,1
36566148661,20251024,1
36566148661,20251027,1
36566148661,20251028,1
36566148661,20251029,1
36566148661,20251030,1
36566148661,20251031,1
36566148661,20251103,1
36566148661,20251104,1
36566148661,20251105,1
36566148661,20251106,1
36566148661,20251107,1
36566148661,20251110,1
36566148661,20251111,1
36566148661,20251112,1
36566148661,20251113,1
36566148661,20251114,1
36566148661,20251117,1
36566148661,20251118,1
36566148661,20251119,1
36566148661,20251120,1
36566148661,20251121,1
36566148661,20251124,1
36566148661,20251125,1
36566148661,20251126,1
36566148661,20251127,1
36566148661,20251128,1
36566148661,20251201,1
36566148661,20251202,1
36566148661,20251203,1
36566148661,20251204,1
36566148661,20251205,1
36566148661,20251208,1
36566148661,20251209,1
36566148661,20251210,1
36566148661,20251211,1
36566148661,20251212,1
36566148661,20251215,1
36566148661,20251216,1
36566148661,20251217,1
36566148661,20251218,1
36566148661,20251219,1
36566148661,20251222,1
36566148661,20251223,1
